,n,random_state,train_BA,train_auroc,val_BA,val_auroc,test_BA,test_auroc
45,230,1001,[0.8573634],[0.91099476],[0.76623377],[0.70484061],[0.66358025],[0.56893004]
46,230,2001,[0.84841059],[0.9015544],[0.7745098],[0.7622549],[0.56060606],[0.66200466]
47,230,3001,[0.57535121],[0.50976099],[0.657277],[0.61150235],[0.52210366],[0.56935976]
48,230,4001,[0.79166667],[0.8785],[0.70108696],[0.68236715],[0.6528169],[0.7084507]
49,230,5001,[0.75603826],[0.78327119],[0.69213382],[0.62748644],[0.53070175],[0.60877193]
50,230,6001,[0.67936456],[0.72929162],[0.67105263],[0.61732456],[0.63333333],[0.61155556]
51,230,7001,[0.60455503],[0.57464743],[0.55318292],[0.44480258],[0.61336032],[0.56275304]
52,230,8001,[0.83206354],[0.88604312],[0.81196581],[0.8215812],[0.51535088],[0.53859649]
53,230,9001,[0.75189653],[0.80649173],[0.62820513],[0.62564103],[0.56410256],[0.54273504]
54,230,10001,[0.85613552],[0.90841303],[0.78144458],[0.83188045],[0.59210526],[0.6129386]
55,230,11001,[0.79591557],[0.81208882],[0.69551282],[0.69764957],[0.62554113],[0.63528139]
56,230,12001,[0.65833333],[0.71266667],[0.67835498],[0.60779221],[0.61231884],[0.57246377]
57,230,13001,[0.76118421],[0.80644737],[0.66869919],[0.6504065],[0.57692308],[0.59270217]
58,230,14001,[0.83510229],[0.86202123],[0.62909091],[0.61090909],[0.7],[0.71190476]
59,230,15001,[0.78938524],[0.85128133],[0.72262443],[0.7438914],[0.6884058],[0.65942029]
60,360,1001,[0.78688525],[0.870462],[0.72077922],[0.67886659],[0.51697531],[0.61625514]
61,360,2001,[0.79575163],[0.84198741],[0.71813725],[0.71936275],[0.51573427],[0.64219114]
62,360,3001,[0.62583286],[0.65118345],[0.71244131],[0.70070423],[0.51067073],[0.55792683]
63,360,4001,[0.7914525],[0.85620915],[0.67572464],[0.70169082],[0.55915493],[0.71971831]
64,360,5001,[0.72836538],[0.75787927],[0.66094033],[0.65009042],[0.57587719],[0.61666667]
65,360,6001,[0.72167086],[0.75011896],[0.69736842],[0.6502193],[0.64],[0.62311111]
