,n,random_state,train_BA,train_auroc,val_BA,val_auroc,test_BA,test_auroc
94,10000,95001,[0.96367251 0.9707878  0.9396885  0.94280684],[0.99366245 0.99402299 0.97988722 0.98064227],[0.94253864 0.89794231 0.91809281 0.89642857],[0.9834077  0.96577116 0.96548307 0.95298151],[0.93960437 0.92481996 0.89387541 0.88682977],[0.98844615 0.98021058 0.95385365 0.95962819]
95,10000,96001,[0.96868192 0.96590865 0.92788455 0.94586657],[0.99552678 0.9932401  0.96992474 0.98152778],[0.95283172 0.93477832 0.91770307 0.90045387],[0.98842898 0.98376979 0.96945493 0.9583653 ],[0.9435784  0.90755859 0.89660647 0.90402728],[0.98651007 0.97058477 0.96016444 0.9564759 ]
96,10000,97001,[0.96834981 0.95986837 0.94414042 0.94621738],[0.99396688 0.99113042 0.98027811 0.98101308],[0.94270629 0.92815346 0.9040879  0.90000122],[0.98482816 0.97601794 0.9645162  0.95772019],[0.94302803 0.91920045 0.91316372 0.88125402],[0.98342779 0.97862735 0.96287224 0.95306982]
97,10000,98001,[0.96389966 0.96757031 0.94144946 0.94275418],[0.99355266 0.99394949 0.97884204 0.98018262],[0.95084444 0.93220782 0.91440721 0.90570481],[0.98974479 0.97842661 0.97054573 0.96429406],[0.92546805 0.91751948 0.8957478  0.88489814],[0.98144251 0.97535325 0.95724061 0.95842879]
98,10000,99001,[0.96242421 0.96992265 0.94348015 0.94921757],[0.99316126 0.99393031 0.98049487 0.98259383],[0.9419143  0.9400518  0.90058985 0.8909623 ],[0.98422359 0.98166189 0.95775102 0.9536381 ],[0.94034533 0.92201088 0.90025992 0.89527373],[0.98628461 0.97728379 0.9633877  0.95440834]
99,10000,100001,[0.96470422 0.96934878 0.93885173 0.95087625],[0.9931561  0.99307681 0.97822436 0.98204621],[0.94882611 0.94200285 0.91200354 0.90033528],[0.98851824 0.98450362 0.96238355 0.9576317 ],[0.92923314 0.91225114 0.90984826 0.89185589],[0.98314469 0.98062861 0.96173232 0.95503721]
100,10000,101001,[0.96679326 0.96819495 0.94061859 0.94307896],[0.99410527 0.99352232 0.9786602  0.9796976 ],[0.94510661 0.93083017 0.91495644 0.91157528],[0.98775628 0.98144236 0.96292256 0.96852324],[0.93832301 0.90541086 0.90713476 0.89375418],[0.98466255 0.97359886 0.96222442 0.94998071]
101,10000,102001,[0.96477435 0.96939734 0.94515215 0.94807565],[0.99386021 0.99369469 0.98069685 0.9833353 ],[0.95432629 0.9391799  0.90621162 0.90614252],[0.98971883 0.98193031 0.96187141 0.95550506],[0.94356155 0.89607016 0.87893012 0.8895698 ],[0.98500059 0.97517902 0.94420979 0.95147259]
102,10000,103001,[0.96475444 0.98329847 0.9396774  0.94639211],[0.99401083 0.99606806 0.9768334  0.98242771],[0.94655934 0.93360961 0.91860705 0.91199245],[0.98730821 0.9831869  0.96772345 0.9619972 ],[0.93999674 0.9202392  0.91178413 0.89711076],[0.98448615 0.97782351 0.96119607 0.95708643]
103,10000,104001,[0.96532251 0.97191331 0.94276872 0.943799  ],[0.99404854 0.99451392 0.97944888 0.98144143],[0.93346321 0.93053842 0.91024711 0.90385534],[0.98138653 0.97801209 0.96307438 0.95572185],[0.94271667 0.91978241 0.91469743 0.89722815],[0.98614987 0.97166016 0.96018687 0.95635935]
104,10000,105001,[0.96200591 0.96961907 0.92824391 0.94159398],[0.99332466 0.9937614  0.97285387 0.98081691],[0.94347384 0.94559784 0.91552807 0.90381519],[0.9847111  0.98454474 0.9608327  0.95688543],[0.95021942 0.92418371 0.90242143 0.8979349 ],[0.98744638 0.97294955 0.96205888 0.96298296]
105,10000,106001,[0.96610012 0.96848444 0.94275344 0.94565633],[0.99344557 0.99269203 0.97862629 0.98095189],[0.94736811 0.95189363 0.91416029 0.89849513],[0.98968809 0.98999731 0.96201686 0.95660827],[0.94441437 0.9352254  0.89712649 0.88933992],[0.98824617 0.98255212 0.95805527 0.95233725]
106,10000,107001,[0.96650137 0.97145278 0.91883434 0.94479169],[0.99425418 0.99434027 0.96858479 0.98251052],[0.94329187 0.92180656 0.89588739 0.89424269],[0.9849052  0.97207384 0.95766366 0.95533557],[0.94045352 0.92573425 0.91159096 0.89576439],[0.98423689 0.97821375 0.96491164 0.95977625]
107,10000,108001,[0.9625612  0.97040818 0.93949027 0.94582743],[0.99314461 0.99382108 0.9777921  0.9820793 ],[0.94315358 0.92668328 0.89349372 0.89726067],[0.984614   0.9772906  0.94814864 0.95738008],[0.95104035 0.93799609 0.91706635 0.90406298],[0.98948669 0.98413674 0.96688364 0.96017922]
108,10000,109001,[0.97558133 0.96948343 0.93719162 0.94542516],[0.99676243 0.99369963 0.97765048 0.98196026],[0.93337655 0.9219461  0.91274885 0.91287071],[0.98156829 0.97519982 0.96453677 0.96131134],[0.93479362 0.92770652 0.92466231 0.90222165],[0.98252583 0.98164441 0.96946569 0.96036967]
109,10000,110001,[0.96332983 0.98531019 0.94106854 0.9460003 ],[0.9933709  0.99739247 0.97965713 0.98154786],[0.93939001 0.93703378 0.9201089  0.88368427],[0.9836511  0.98297801 0.96641939 0.94932737],[0.9411738  0.92425956 0.89762737 0.91336483],[0.9871354  0.97782709 0.95663352 0.96730076]
110,10000,111001,[0.97295059 0.97049608 0.94125831 0.94477747],[0.99576842 0.99431165 0.97977216 0.98125984],[0.95559508 0.93689334 0.90946805 0.89356627],[0.98900316 0.98236714 0.96056257 0.95800565],[0.93265357 0.92140007 0.90560381 0.87804378],[0.98326069 0.97837285 0.9678439  0.95254221]
111,10000,112001,[0.9657032  0.9682491  0.9405117  0.94413475],[0.99354087 0.9937126  0.97882516 0.98221356],[0.94486227 0.93412387 0.91026856 0.90347085],[0.98408451 0.97943766 0.95829713 0.96231234],[0.93149564 0.91624982 0.91113945 0.90705112],[0.98291745 0.97646036 0.96917976 0.96712799]
112,10000,113001,[0.96299524 0.96605144 0.93877055 0.94647179],[0.99276941 0.99272635 0.97766366 0.98298351],[0.95430707 0.93206277 0.92797655 0.90669673],[0.99057151 0.98109224 0.97191173 0.95759959],[0.94021397 0.92343748 0.91418665 0.90183251],[0.98629554 0.97526298 0.96528436 0.95672683]
113,10000,114001,[0.96338363 0.96950964 0.92473141 0.94565728],[0.99351615 0.99396279 0.97116707 0.98203762],[0.95219078 0.92201002 0.89396964 0.89268806],[0.98830989 0.97780636 0.95329087 0.95120641],[0.94678125 0.92683234 0.90726504 0.89915607],[0.98740594 0.98052499 0.95918442 0.96331631]
114,10000,115001,[0.96609794 0.96591918 0.94456863 0.946112  ],[0.99330829 0.99321434 0.98050857 0.98205403],[0.94055443 0.93734371 0.9106483  0.89290434],[0.98601187 0.98510594 0.96300596 0.95133487],[0.93460274 0.91996353 0.90004948 0.89075203],[0.98164889 0.975293   0.95759888 0.95771245]
