,n,random_state,train_BA,train_auroc,val_BA,val_auroc,test_BA,test_auroc
83,20000,84001,[0.7240779  0.78533004 0.65330494],[0.7966051  0.85623752 0.70991429],[0.68793693 0.76921327 0.63173222],[0.74891939 0.83630488 0.67749658],[0.65613692 0.73234903 0.62165815],[0.71460121 0.8043928  0.66590079]
84,20000,85001,[0.72401091 0.78854679 0.6508509 ],[0.79234045 0.85791548 0.70331981],[0.68026476 0.74084985 0.62854457],[0.74160657 0.81270554 0.66916402],[0.67230329 0.74458952 0.62948078],[0.73769771 0.81708929 0.67544079]
85,20000,86001,[0.69422591 0.78156595 0.6482726 ],[0.76134857 0.85328583 0.69615057],[0.68141906 0.76451671 0.63857647],[0.73546775 0.83355237 0.68596223],[0.67076286 0.74450093 0.62842033],[0.72891243 0.81401987 0.67432684]
86,20000,87001,[0.69363113 0.78114781 0.64035937],[0.75803734 0.85205215 0.69616016],[0.68581251 0.76692965 0.63250891],[0.74362057 0.83346654 0.67305394],[0.66940613 0.74229979 0.6267947 ],[0.73306507 0.81747054 0.67389323]
87,20000,88001,[0.6947625  0.78166629 0.649167  ],[0.76068666 0.85729832 0.71011254],[0.67673088 0.74892628 0.62678064],[0.73779947 0.82135685 0.6690019 ],[0.68274938 0.74618226 0.6209044 ],[0.73896591 0.82227463 0.67096855]
88,20000,89001,[0.69789093 0.78016587 0.64511803],[0.76265964 0.85619408 0.70110822],[0.68373627 0.75381284 0.62417434],[0.74233974 0.82602899 0.66795636],[0.67302528 0.75190456 0.62791667],[0.73301166 0.82467669 0.67264052]
89,20000,90001,[0.6968609  0.77945294 0.64544481],[0.76302784 0.85557428 0.69871061],[0.67647123 0.74195832 0.63756845],[0.73902859 0.81431881 0.68494188],[0.67816743 0.73855164 0.65644436],[0.7408311  0.8122784  0.70377197]
90,20000,91001,[0.7046563  0.78231601 0.64446599],[0.76832765 0.85469184 0.69846857],[0.67705785 0.75519854 0.60902043],[0.73649872 0.82656268 0.65328373],[0.66850101 0.74688577 0.63917691],[0.73286288 0.82291588 0.69206786]
91,20000,92001,[0.73370999 0.77911387 0.64126744],[0.80017081 0.85565845 0.69658475],[0.6835132  0.76584849 0.63616238],[0.73751639 0.83379504 0.68334405],[0.67160669 0.75510439 0.62730319],[0.73509374 0.82586245 0.67399653]
92,20000,93001,[0.71345334 0.77512828 0.64284718],[0.78013009 0.84977644 0.69623833],[0.67756827 0.74644275 0.6276448 ],[0.73449098 0.81659112 0.66636099],[0.68312708 0.759291   0.62754992],[0.74386138 0.8324207  0.67496178]
93,20000,94001,[0.7256036  0.78829517 0.64522828],[0.80021059 0.86039021 0.69635892],[0.68895744 0.76048006 0.63006799],[0.7474765  0.83027311 0.67091656],[0.66944748 0.73497494 0.61409889],[0.73018555 0.81113318 0.66166692]
94,20000,95001,[0.71386351 0.78133571 0.6429874 ],[0.78376014 0.85734607 0.69618492],[0.68055474 0.75098298 0.6368453 ],[0.73593957 0.81850525 0.68146818],[0.6731554  0.75229853 0.6341427 ],[0.72946336 0.82526143 0.67914071]
95,20000,96001,[0.69806168 0.78818558 0.64597492],[0.76797916 0.85637045 0.69876423],[0.68544587 0.77259495 0.63778637],[0.74060991 0.83947193 0.6795876 ],[0.66885378 0.75729242 0.62290564],[0.72505759 0.82593773 0.66430704]
96,20000,97001,[0.73007467 0.77621534 0.6710586 ],[0.80003427 0.85061205 0.7349429 ],[0.67794589 0.76145358 0.62587771],[0.73996224 0.82969308 0.6692546 ],[0.67418861 0.76224704 0.61745177],[0.74256338 0.83063356 0.65646276]
